order_id,customer_id,product_id,size,color,season,purchase_amount_usd,review_rating,shipping_type,discount_applied,promo_code_used,payment_method
64,64,17,L,Lavender,Winter,79,2.7,2-Day Shipping,Yes,Yes,Credit Card
65,65,65,S,Green,Fall,83,4.8,Standard,Yes,Yes,Debit Card
66,66,57,M,Purple,Spring,36,4.8,2-Day Shipping,Yes,Yes,Venmo
67,67,1,S,Magenta,Winter,94,4.7,2-Day Shipping,Yes,Yes,Venmo
68,68,9,L,Gray,Winter,33,4.4,Store Pickup,Yes,Yes,Debit Card
69,69,10,L,Silver,Summer,46,3.9,Next Day Air,Yes,Yes,Cash
70,70,60,S,Cyan,Summer,70,4.4,Express,Yes,Yes,Cash
71,71,60,M,Magenta,Fall,29,4.2,Express,Yes,Yes,Debit Card
72,72,14,L,Gold,Summer,48,2.9,Express,Yes,Yes,Bank Transfer
73,73,14,M,Olive,Winter,26,2.9,Store Pickup,Yes,Yes,Bank Transfer
74,74,20,M,Teal,Spring,85,2.7,Free Shipping,Yes,Yes,Bank Transfer
75,75,75,L,Violet,Spring,58,4.5,Express,Yes,Yes,Cash
76,76,42,M,Blue,Summer,85,2.7,Free Shipping,Yes,Yes,Credit Card
77,77,45,S,Teal,Summer,43,4.2,Free Shipping,Yes,Yes,Venmo
78,78,14,L,Gold,Summer,53,3.3,Next Day Air,Yes,Yes,Debit Card
79,79,16,M,Maroon,Spring,91,4.7,Free Shipping,Yes,Yes,Venmo
80,80,25,M,Olive,Winter,96,2.6,2-Day Shipping,Yes,Yes,Bank Transfer
81,81,4,XL,Blue,Summer,72,3.3,Store Pickup,Yes,Yes,Credit Card
82,82,11,L,Maroon,Summer,96,2.6,Express,Yes,Yes,Credit Card
83,83,20,S,Olive,Spring,28,4,2-Day Shipping,Yes,Yes,Credit Card
84,84,14,M,Turquoise,Summer,40,4.1,Standard,Yes,Yes,Bank Transfer
85,85,9,S,Peach,Spring,32,4.4,Standard,Yes,Yes,Bank Transfer
86,86,17,M,Charcoal,Winter,95,4.5,Next Day Air,Yes,Yes,Debit Card
87,87,26,L,Pink,Spring,41,3.7,2-Day Shipping,Yes,Yes,Cash
88,88,11,M,Green,Fall,53,3.7,2-Day Shipping,Yes,Yes,Debit Card
89,89,35,M,Orange,Fall,47,3.5,Free Shipping,Yes,Yes,Credit Card
90,90,25,XL,Pink,Fall,83,3.6,Next Day Air,Yes,Yes,Cash
91,91,45,L,Violet,Summer,48,2.9,Express,Yes,Yes,Credit Card
92,92,42,S,Green,Winter,99,4.6,Standard,Yes,Yes,Credit Card
93,93,25,M,Olive,Winter,87,4.4,2-Day Shipping,Yes,Yes,Venmo
94,94,2,M,Purple,Fall,62,4.5,Standard,Yes,Yes,Credit Card
95,95,16,S,Silver,Spring,76,4.6,Free Shipping,Yes,Yes,Credit Card
96,96,6,L,Pink,Fall,100,3.8,Free Shipping,Yes,Yes,PayPal
97,97,75,S,Gold,Spring,73,3.6,Express,Yes,Yes,Venmo
98,98,11,M,Teal,Winter,92,4.8,Store Pickup,Yes,Yes,Cash
99,99,3,XL,Teal,Spring,67,2.6,Next Day Air,Yes,Yes,Bank Transfer
100,100,26,XL,Indigo,Summer,40,3.7,Express,Yes,Yes,Debit Card
101,101,17,M,Maroon,Fall,98,2.7,Express,Yes,Yes,Cash
102,102,9,XL,White,Spring,85,4.6,Express,Yes,Yes,Credit Card
103,103,46,L,Violet,Winter,67,4.8,Next Day Air,Yes,Yes,Credit Card
104,104,65,L,Red,Winter,89,4,Next Day Air,Yes,Yes,Venmo
105,105,17,L,Pink,Spring,24,4.4,2-Day Shipping,Yes,Yes,PayPal
106,106,57,M,Charcoal,Fall,96,3.6,Next Day Air,Yes,Yes,Bank Transfer
107,107,25,L,White,Summer,35,3.7,Standard,Yes,Yes,Credit Card
108,108,6,L,Olive,Winter,67,3.1,Next Day Air,Yes,Yes,PayPal
109,109,46,L,Purple,Spring,79,3.4,Next Day Air,Yes,Yes,Bank Transfer
110,110,35,M,Violet,Spring,85,2.6,Next Day Air,Yes,Yes,Bank Transfer
111,111,57,M,Black,Summer,26,4,Standard,Yes,Yes,Venmo
112,112,60,L,Purple,Summer,75,5,Free Shipping,Yes,Yes,Credit Card
113,113,75,M,Red,Spring,65,4.3,Free Shipping,Yes,Yes,PayPal
114,114,45,L,Maroon,Winter,54,3.1,Next Day Air,Yes,Yes,PayPal
115,115,9,S,Blue,Summer,95,3.7,Store Pickup,Yes,Yes,Cash
116,116,16,M,Gray,Spring,94,3.8,Standard,Yes,Yes,Debit Card
117,117,11,S,Blue,Spring,86,3.4,Free Shipping,Yes,Yes,Venmo
118,118,4,L,Yellow,Summer,32,4.6,Express,Yes,Yes,Cash
119,119,2,L,Orange,Fall,45,4.8,2-Day Shipping,Yes,Yes,Cash
120,120,9,M,Orange,Fall,76,4.3,Express,Yes,Yes,Cash
121,121,45,L,Red,Summer,84,4,Express,Yes,Yes,Bank Transfer
122,122,8,M,Olive,Winter,72,4.2,Standard,Yes,Yes,Cash
123,123,57,L,Brown,Spring,40,4.8,2-Day Shipping,Yes,Yes,Cash
124,124,2,L,Brown,Fall,89,3.1,Free Shipping,Yes,Yes,Cash
125,125,2,M,Gray,Spring,86,3.1,Next Day Air,Yes,Yes,PayPal
126,126,8,M,Indigo,Winter,54,3.6,Next Day Air,Yes,Yes,Venmo
127,127,8,L,Pink,Spring,36,3.9,Store Pickup,Yes,Yes,Cash
128,128,2,M,Gray,Winter,89,4.8,Next Day Air,Yes,Yes,Credit Card
129,129,42,M,Gold,Spring,32,4.7,Standard,Yes,Yes,Credit Card
130,130,14,XL,Olive,Summer,67,4.2,2-Day Shipping,Yes,Yes,PayPal
131,131,42,L,Violet,Fall,39,3.7,Next Day Air,Yes,Yes,PayPal
132,132,16,L,Indigo,Summer,29,3.9,Standard,Yes,Yes,Credit Card
133,133,57,M,Orange,Fall,58,4.7,2-Day Shipping,Yes,Yes,PayPal
134,134,2,M,Violet,Winter,65,2.5,Next Day Air,Yes,Yes,Venmo
135,135,45,L,Gray,Fall,94,4.9,Store Pickup,Yes,Yes,Cash
136,136,4,M,Purple,Fall,81,4.1,Express,Yes,Yes,PayPal
137,137,1,M,White,Winter,86,3.3,Free Shipping,Yes,Yes,Debit Card
138,138,6,M,Turquoise,Spring,43,4.7,Free Shipping,Yes,Yes,PayPal
139,139,16,M,Maroon,Winter,29,4.4,Store Pickup,Yes,Yes,Bank Transfer
140,140,9,M,White,Fall,95,3.8,Store Pickup,Yes,Yes,Venmo
141,141,7,L,Yellow,Fall,28,3.9,2-Day Shipping,Yes,Yes,Credit Card
142,142,75,M,Turquoise,Fall,46,4.9,Free Shipping,Yes,Yes,PayPal
143,143,25,L,Violet,Fall,58,3.1,Free Shipping,Yes,Yes,Credit Card
144,144,9,M,Beige,Fall,48,2.7,Store Pickup,Yes,Yes,PayPal
145,145,11,M,Silver,Fall,43,3.2,Express,Yes,Yes,Cash
146,146,27,M,Teal,Fall,95,4.5,Standard,Yes,Yes,Debit Card
147,147,16,S,Black,Fall,30,4,Standard,Yes,Yes,Venmo
148,148,11,M,Purple,Summer,64,3.5,2-Day Shipping,Yes,Yes,Bank Transfer
149,149,75,M,Gray,Fall,90,2.6,Store Pickup,Yes,Yes,Debit Card
150,150,20,M,White,Summer,76,3.2,Free Shipping,Yes,Yes,PayPal
151,151,65,L,Cyan,Fall,96,4.9,Standard,Yes,Yes,Debit Card
152,152,17,L,Turquoise,Fall,47,4.5,Next Day Air,Yes,Yes,Venmo
153,153,7,S,Brown,Summer,85,4.3,Express,Yes,Yes,Venmo
154,154,26,M,Maroon,Winter,55,3.2,Standard,Yes,Yes,Debit Card
155,155,14,M,Charcoal,Fall,98,3.6,Next Day Air,Yes,Yes,Venmo
156,156,46,S,Olive,Spring,77,4.3,Free Shipping,Yes,Yes,Bank Transfer
157,157,8,M,Lavender,Fall,26,4,Standard,Yes,Yes,Debit Card
158,158,45,S,Yellow,Fall,68,3,Next Day Air,Yes,Yes,Bank Transfer
159,159,7,XL,Teal,Fall,73,4.1,Standard,Yes,Yes,Bank Transfer
160,160,75,M,Charcoal,Fall,27,3.8,Store Pickup,Yes,Yes,Bank Transfer
161,161,75,M,Orange,Summer,23,4.6,Free Shipping,Yes,Yes,Venmo
162,162,57,M,Olive,Fall,49,3,Express,Yes,Yes,Venmo
163,163,17,M,Turquoise,Summer,74,3,Store Pickup,Yes,Yes,PayPal
164,164,16,M,Purple,Summer,67,3.4,Standard,Yes,Yes,Debit Card
165,165,10,S,Purple,Spring,65,2.6,Free Shipping,Yes,Yes,Credit Card
166,166,10,S,Yellow,Winter,60,2.8,Store Pickup,Yes,Yes,Cash
167,167,6,XL,Indigo,Fall,31,4,Store Pickup,Yes,Yes,Cash
168,168,75,M,Green,Fall,27,4,Express,Yes,Yes,Credit Card
169,169,11,M,Magenta,Summer,80,3,Express,Yes,Yes,Cash
170,170,25,S,Gold,Summer,30,3.3,Standard,Yes,Yes,PayPal
171,171,7,M,Maroon,Fall,25,2.6,Store Pickup,Yes,Yes,Venmo
172,172,8,M,Blue,Summer,35,3.6,Store Pickup,Yes,Yes,Credit Card
173,173,27,M,Violet,Summer,67,3.9,Next Day Air,Yes,Yes,Credit Card
174,174,45,M,Turquoise,Fall,46,3.4,Standard,Yes,Yes,Cash
175,175,11,L,Brown,Winter,35,3.5,Express,Yes,Yes,Venmo
176,176,9,L,Violet,Fall,86,2.8,Next Day Air,Yes,Yes,Bank Transfer
177,177,57,L,Black,Spring,81,2.7,Next Day Air,Yes,Yes,Credit Card
178,178,26,L,Magenta,Fall,42,3.7,Next Day Air,Yes,Yes,Bank Transfer
179,179,16,L,Lavender,Fall,43,4.3,2-Day Shipping,Yes,Yes,PayPal
180,180,65,M,Violet,Fall,31,4.9,Store Pickup,Yes,Yes,Bank Transfer
181,181,4,L,Green,Fall,81,3.3,Store Pickup,Yes,Yes,Debit Card
182,182,20,M,Beige,Summer,61,4.7,Next Day Air,Yes,Yes,Bank Transfer
183,183,75,XL,Purple,Summer,96,2.8,Store Pickup,Yes,Yes,Debit Card
184,184,16,XL,Beige,Spring,29,3.6,2-Day Shipping,Yes,Yes,Credit Card
185,185,6,L,Cyan,Spring,33,3,Express,Yes,Yes,Cash
186,186,35,XL,Silver,Summer,32,4.5,Store Pickup,Yes,Yes,Bank Transfer
187,187,57,S,Lavender,Summer,56,2.9,Standard,Yes,Yes,Debit Card
188,188,11,S,Purple,Spring,94,3.3,Store Pickup,Yes,Yes,Bank Transfer
189,189,26,M,Pink,Spring,53,3.1,Express,Yes,Yes,Bank Transfer
190,190,1,M,Maroon,Fall,82,4.4,Next Day Air,Yes,Yes,Credit Card
191,191,9,XL,Beige,Fall,70,3,Free Shipping,Yes,Yes,Venmo
192,192,45,M,Gray,Fall,76,3.9,Free Shipping,Yes,Yes,Cash
193,193,11,L,Turquoise,Summer,29,2.9,Express,Yes,Yes,PayPal
194,194,60,S,Silver,Fall,100,3,Standard,Yes,Yes,Venmo
195,195,57,M,Olive,Spring,94,3.1,Express,Yes,Yes,Debit Card
196,196,25,M,Magenta,Fall,25,4.3,Free Shipping,Yes,Yes,Credit Card
197,197,65,M,Lavender,Summer,88,3.9,Next Day Air,Yes,Yes,Credit Card
198,198,42,M,Black,Fall,78,3.2,2-Day Shipping,Yes,Yes,Credit Card
199,199,27,M,Turquoise,Winter,45,4.8,Standard,Yes,Yes,Credit Card
200,200,45,XL,Green,Summer,73,3.8,Express,Yes,Yes,Cash
201,201,14,S,Teal,Summer,61,3.3,Next Day Air,Yes,Yes,Venmo
202,202,1,S,Beige,Fall,22,4.3,Free Shipping,Yes,Yes,Bank Transfer
203,203,45,L,Magenta,Spring,38,2.7,Express,Yes,Yes,Venmo
204,204,42,S,Yellow,Fall,38,3.2,Next Day Air,Yes,Yes,Bank Transfer
205,205,6,M,Yellow,Fall,100,4,Store Pickup,Yes,Yes,Cash
206,206,7,M,Silver,Winter,64,3,Standard,Yes,Yes,PayPal
207,207,35,L,Silver,Summer,55,4.2,Free Shipping,Yes,Yes,Venmo
208,208,75,M,Silver,Summer,91,2.9,Express,Yes,Yes,Bank Transfer
209,209,16,M,Gold,Spring,38,4.1,Store Pickup,Yes,Yes,Credit Card
210,210,4,S,Olive,Winter,97,3.2,Store Pickup,Yes,Yes,Cash
211,211,25,L,Teal,Fall,22,3,2-Day Shipping,Yes,Yes,PayPal
212,212,16,L,Maroon,Fall,92,4.2,2-Day Shipping,Yes,Yes,Debit Card
213,213,10,L,Blue,Fall,84,4.2,Express,Yes,Yes,Debit Card
214,214,10,L,Peach,Fall,93,4.4,Store Pickup,Yes,Yes,Debit Card
215,215,25,L,Blue,Summer,50,4.2,Next Day Air,Yes,Yes,Cash
216,216,42,S,Orange,Spring,64,2.8,2-Day Shipping,Yes,Yes,PayPal
217,217,8,L,Yellow,Spring,61,3.7,Free Shipping,Yes,Yes,Venmo
218,218,17,M,Purple,Winter,48,3.5,Next Day Air,Yes,Yes,Bank Transfer
219,219,35,S,Magenta,Spring,45,2.9,Store Pickup,Yes,Yes,Credit Card
220,220,60,M,Cyan,Spring,88,3,Free Shipping,Yes,Yes,Cash
221,221,6,S,Indigo,Spring,57,3.7,Express,Yes,Yes,Debit Card
222,222,45,XL,Magenta,Summer,68,4.4,Store Pickup,Yes,Yes,Bank Transfer
223,223,75,XL,Gray,Spring,94,4.5,2-Day Shipping,Yes,Yes,PayPal
224,224,20,M,Turquoise,Spring,41,4.8,Free Shipping,Yes,Yes,PayPal
225,225,46,S,Beige,Summer,83,2.9,Free Shipping,Yes,Yes,Cash
226,226,25,M,Olive,Spring,22,3.2,Next Day Air,Yes,Yes,Bank Transfer
227,227,11,L,Violet,Spring,74,3.3,Free Shipping,Yes,Yes,PayPal
228,228,3,M,Turquoise,Winter,90,4.2,Standard,Yes,Yes,Venmo
229,229,46,M,White,Spring,79,2.9,Store Pickup,Yes,Yes,Credit Card
230,230,4,S,Silver,Spring,28,4.6,Next Day Air,Yes,Yes,PayPal
231,231,42,L,Olive,Fall,88,4.1,Standard,Yes,Yes,Credit Card
232,232,1,M,Blue,Spring,26,3.1,2-Day Shipping,Yes,Yes,Debit Card
233,233,27,L,Purple,Winter,27,4.2,Express,Yes,Yes,Bank Transfer
234,234,2,XL,Yellow,Fall,83,4.5,Next Day Air,Yes,Yes,Bank Transfer
235,235,75,S,Silver,Summer,39,3.7,Next Day Air,Yes,Yes,Credit Card
236,236,17,M,Cyan,Winter,89,3.7,Free Shipping,Yes,Yes,Debit Card
237,237,9,L,Green,Winter,68,3.4,Next Day Air,Yes,Yes,PayPal
238,238,14,M,Beige,Summer,90,3,Store Pickup,Yes,Yes,Debit Card
239,239,16,M,Peach,Fall,34,4.2,Free Shipping,Yes,Yes,Cash
240,240,20,L,Yellow,Summer,51,2.9,Express,Yes,Yes,Credit Card
241,241,2,XL,Turquoise,Winter,45,3.5,Free Shipping,Yes,Yes,Bank Transfer
242,242,26,M,Peach,Winter,88,4.1,Free Shipping,Yes,Yes,Venmo
243,243,9,L,Gray,Summer,85,4.3,Store Pickup,Yes,Yes,Debit Card
244,244,27,M,Olive,Winter,100,2.8,2-Day Shipping,Yes,Yes,Debit Card
245,245,60,S,Indigo,Spring,42,4.9,2-Day Shipping,Yes,Yes,PayPal
246,246,4,L,Charcoal,Summer,53,3.3,Next Day Air,Yes,Yes,Venmo
247,247,17,XL,Beige,Spring,86,3.2,Express,Yes,Yes,Venmo
248,248,2,XL,Brown,Spring,66,4.4,Standard,Yes,Yes,Debit Card
249,249,60,M,Blue,Winter,100,4.8,Express,Yes,Yes,PayPal
250,250,10,S,Teal,Fall,47,4.2,Standard,Yes,Yes,Credit Card
251,251,16,L,Black,Fall,25,4,Express,Yes,Yes,Bank Transfer
252,252,10,XL,Gold,Winter,51,2.5,Standard,Yes,Yes,PayPal
253,253,8,M,Violet,Summer,41,3.9,Free Shipping,Yes,Yes,Venmo
254,254,65,L,Cyan,Winter,73,4.9,2-Day Shipping,Yes,Yes,Bank Transfer
255,255,17,M,White,Winter,42,3.5,Store Pickup,Yes,Yes,PayPal
256,256,42,M,Charcoal,Spring,20,4.2,Free Shipping,Yes,Yes,Debit Card
257,257,27,XL,Violet,Spring,30,4.7,Express,Yes,Yes,Credit Card
258,258,10,M,Red,Summer,53,4.5,Express,Yes,Yes,Credit Card
259,259,75,S,Lavender,Spring,74,2.8,Express,Yes,Yes,Cash
260,260,3,M,Gold,Fall,57,2.9,Standard,Yes,Yes,Debit Card
261,261,45,S,Red,Winter,57,3.2,2-Day Shipping,Yes,Yes,Credit Card
262,262,3,L,Magenta,Winter,77,4.9,Standard,Yes,Yes,Credit Card
263,263,20,M,Teal,Summer,40,3.7,Next Day Air,Yes,Yes,Debit Card
264,264,8,M,Purple,Summer,46,4.3,Store Pickup,Yes,Yes,Venmo
265,265,20,S,Charcoal,Fall,78,3.9,Store Pickup,Yes,Yes,Cash
266,266,57,M,Gray,Spring,59,3.2,2-Day Shipping,Yes,Yes,Bank Transfer
267,267,27,L,White,Summer,75,3.1,Express,Yes,Yes,Credit Card
268,268,2,M,Olive,Spring,54,3.9,2-Day Shipping,Yes,Yes,Venmo
269,269,11,M,Charcoal,Spring,42,2.6,Store Pickup,Yes,Yes,Cash
270,270,1,M,Charcoal,Winter,44,3.3,Next Day Air,Yes,Yes,Cash
271,271,3,XL,Orange,Fall,52,4.6,Free Shipping,Yes,Yes,Bank Transfer
272,272,17,XL,Yellow,Summer,69,4.6,Express,Yes,Yes,Credit Card
273,273,27,M,Beige,Summer,26,4.4,2-Day Shipping,Yes,Yes,Debit Card
274,274,9,S,Silver,Spring,33,4.2,Express,Yes,Yes,Debit Card
275,275,27,M,Indigo,Spring,32,3,Express,Yes,Yes,Cash
276,276,57,XL,Lavender,Winter,85,4,Express,Yes,Yes,Credit Card
277,277,16,XL,Turquoise,Fall,30,3.5,Express,Yes,Yes,Bank Transfer
278,278,7,M,Green,Winter,29,3,Store Pickup,Yes,Yes,Bank Transfer
279,279,2,M,Orange,Spring,95,3.7,Express,Yes,Yes,Debit Card
280,280,6,L,Turquoise,Summer,69,4,Standard,Yes,Yes,Bank Transfer
281,281,4,S,Cyan,Fall,69,4.2,2-Day Shipping,Yes,Yes,Cash
282,282,60,XL,Charcoal,Spring,61,2.5,Standard,Yes,Yes,Debit Card
283,283,16,M,Teal,Summer,94,3,2-Day Shipping,Yes,Yes,Cash
284,284,2,S,Maroon,Fall,30,3.2,Next Day Air,Yes,Yes,Venmo
285,285,16,M,Red,Summer,45,3.5,Standard,Yes,Yes,PayPal
286,286,10,XL,Yellow,Summer,39,4.8,Express,Yes,Yes,Debit Card
287,287,27,L,Gray,Summer,51,2.6,Store Pickup,Yes,Yes,Debit Card
288,288,42,L,Blue,Spring,37,3.4,2-Day Shipping,Yes,Yes,Venmo
289,289,35,M,Lavender,Winter,62,3.7,2-Day Shipping,Yes,Yes,Venmo
290,290,9,M,Yellow,Fall,85,4.5,2-Day Shipping,Yes,Yes,Credit Card
291,291,35,M,Indigo,Winter,33,3.7,Standard,Yes,Yes,PayPal
292,292,14,XL,Violet,Fall,26,3.3,Next Day Air,Yes,Yes,Bank Transfer
293,293,11,M,Green,Spring,99,4.7,Free Shipping,Yes,Yes,Cash
294,294,10,M,White,Spring,39,2.7,Express,Yes,Yes,PayPal
295,295,16,M,Gold,Spring,20,4.6,Store Pickup,Yes,Yes,Credit Card
296,296,17,M,Indigo,Winter,42,2.7,Store Pickup,Yes,Yes,Credit Card
297,297,4,S,Lavender,Spring,74,4.8,2-Day Shipping,Yes,Yes,Credit Card
298,298,11,XL,Purple,Summer,26,4.4,Standard,Yes,Yes,Credit Card
299,299,35,M,Lavender,Winter,53,4,Standard,Yes,Yes,Venmo
300,300,6,M,Maroon,Summer,80,3.2,Next Day Air,Yes,Yes,PayPal
301,301,45,M,Teal,Spring,98,4.4,Store Pickup,Yes,Yes,PayPal
302,302,16,M,Green,Spring,95,3.8,Standard,Yes,Yes,Credit Card
303,303,2,L,Olive,Summer,44,3.6,Express,Yes,Yes,Bank Transfer
304,304,4,M,Turquoise,Summer,60,3.3,Next Day Air,Yes,Yes,Venmo
305,305,14,M,Green,Winter,84,3.4,Next Day Air,Yes,Yes,Credit Card
306,306,2,M,Teal,Fall,59,3.5,2-Day Shipping,Yes,Yes,PayPal
307,307,25,S,White,Summer,49,3.6,Express,Yes,Yes,Cash
308,308,75,M,Orange,Winter,32,3.2,Free Shipping,Yes,Yes,Credit Card
309,309,10,M,Beige,Fall,29,3.7,Standard,Yes,Yes,Venmo
310,310,14,M,Yellow,Spring,22,4.5,Standard,Yes,Yes,Cash
311,311,20,M,Charcoal,Winter,85,4.6,Standard,Yes,Yes,Cash
312,312,3,L,Silver,Winter,52,4.1,Store Pickup,Yes,Yes,Bank Transfer
313,313,20,L,Green,Spring,89,3.4,Next Day Air,Yes,Yes,PayPal
314,314,14,M,Pink,Spring,77,3.7,Express,Yes,Yes,Credit Card
315,315,20,M,Purple,Summer,24,3.3,Store Pickup,Yes,Yes,Debit Card
316,316,27,XL,Orange,Spring,24,4.5,Express,Yes,Yes,Debit Card
317,317,10,M,Charcoal,Fall,22,3.3,Free Shipping,Yes,Yes,Venmo
318,318,2,L,Teal,Fall,82,4.3,Standard,Yes,Yes,Cash
319,319,57,M,Beige,Winter,67,2.5,Standard,Yes,Yes,Cash
320,320,8,XL,White,Spring,74,2.6,Standard,Yes,Yes,Cash
321,321,27,L,White,Summer,72,4.9,Standard,Yes,Yes,Debit Card
322,322,6,L,Orange,Summer,36,4.7,Free Shipping,Yes,Yes,Debit Card
323,323,60,S,Cyan,Winter,95,3,Standard,Yes,Yes,Credit Card
324,324,26,M,Orange,Winter,78,3.5,Next Day Air,Yes,Yes,PayPal
325,325,7,M,Olive,Summer,82,4.8,Standard,Yes,Yes,Venmo
326,326,20,M,Charcoal,Winter,70,4.3,Free Shipping,Yes,Yes,Debit Card
327,327,42,M,White,Fall,41,3.2,Store Pickup,Yes,Yes,Bank Transfer
328,328,9,M,Teal,Summer,42,3.1,Free Shipping,Yes,Yes,PayPal
329,329,9,M,Yellow,Fall,50,2.8,Free Shipping,Yes,Yes,Credit Card
330,330,46,S,White,Summer,31,2.9,2-Day Shipping,Yes,Yes,Bank Transfer
331,331,2,M,Beige,Winter,51,3.7,Express,Yes,Yes,Venmo
